M1,,,,M2,,,,m3,,,,m4,,,,m5,,,,m6,,,,m7,,,,m8,,,,m9,,,,m10,,,,m11,,,,m12,,,,m13,,,,,,,,,,,,,,,,,,
Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,Filename,Width,Height,,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's,,Filename,Width,Height,Repeat M's
bsplsh20,16,32,,bsplsh20,16,32,,,,,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,bsplsh20,16,32,,,bsplsh20,16,32,"m1,2,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
,,,,bubble,16,16,,,,,,bubble,16,16,,bubble,16,16,,bubble,16,16,,,,,,,,,,,,,,,,,,bubble,16,16,,,,,,bubble,16,16,,,bubble,16,16,"m2,4,5,6,11,13",,,,,,,,,,
,,,,,,,,,,,,build02,64,64,,,,,,build02,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,build02,64,64,"m4,6",,,,,,,,,,
,,,,,,,,,,,,build03,64,64,,,,,,build03,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,build03,64,64,"m4,6",,,,,,,,,,
bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,bunk01,64,64,,,bunk01,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,bunk02,64,64,,,bunk02,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,bunk03,64,64,,,bunk03,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,bunk04,64,64,,,bunk04,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,bunk05,64,64,,,bunk05,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,bunk06,64,64,,,bunk06,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,bunk07,64,64,,,bunk07,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,bunk08,64,64,,,bunk08,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,bunk09,64,64,,,bunk09,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,bunk10,64,64,,,bunk10,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,bunk11,64,64,,,bunk11,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
,,,,bunker1,64,64,,,,,,,,,,,,,,,,,,bunker1,64,128,,,,,,,,,,,,,,,,,,,,,,,,,,,bunker1,64,64,m2,,bunker1,64,128,m7,,,,,
bwall01,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bwall01,64,128,,,,,,,,,,,,,,bwall01,64,128,,,bwall01,64,64,m1,,bwall01,64,128,"m9,13",,,,,
bwall04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bwall04,64,64,,,,,,,,,,,,,,bwall04,64,64,,,bwall04,32,32,m1,,bwall04,64,64,"m9,13",,,,,
bwallbad,32,32,,,,,,,,,,bwallbad,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bwallbad,64,64,,,bwallbad,32,32,"m1,4",,bwallbad,64,64,m13,,,,,
bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,bxxpld,16,16,,,bxxpld,16,16,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,canrock1,128,128,,,,,,,,,,,,,,,,,,canrock1,256,128,,,,,,,,,,,,,,,,,,,,,,,,,,,canrock1,128,128,m2,,canrock1,256,128,m7,,,,,
,,,,,,,,,,,,,,,,caust01,64,128,,caust01,64,128,,,,,,,,,,,,,,,,,,caust01,128,256,,,,,,caust01,128,128,,,caust01,64,128,m6,,caust01,128,128,m13,,caust01,128,256,m11
,,,,,,,,,,,,,,,,caust02,64,128,,caust02,64,128,,,,,,,,,,,,,,,,,,caust02,128,256,,,,,,caust02,128,128,,,caust02,64,128,m6,,caust02,128,128,m13,,caust02,128,256,m11
,,,,,,,,,,,,,,,,caust03,64,128,,caust03,64,128,,,,,,,,,,,,,,,,,,caust03,128,256,,,,,,caust03,128,128,,,caust03,64,128,m6,,caust03,128,128,m13,,caust03,128,256,m11
,,,,,,,,,,,,,,,,caust04,64,128,,caust04,64,128,,,,,,,,,,,,,,,,,,caust04,128,256,,,,,,caust04,128,128,,,caust04,64,128,m6,,caust04,128,128,m13,,caust04,128,256,m11
,,,,,,,,,,,,,,,,caust05,64,128,,caust05,64,128,,,,,,,,,,,,,,,,,,caust05,128,256,,,,,,caust05,128,128,,,caust05,64,128,m6,,caust05,128,128,m13,,caust05,128,256,m11
,,,,,,,,,,,,,,,,,,,,cave01,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,cave01,256,128,,,cave01,128,128,m6,,cave01,256,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cave02,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,cave02,256,64,,,cave02,128,128,m6,,cave02,256,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cave03,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cave03,128,32,,,cave03,64,64,m6,,cave03,128,32,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cave04,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cave04,128,32,,,cave04,64,64,m6,,cave04,128,32,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cave05,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cave05,128,128,,,cave05,64,64,m6,,cave05,128,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cavebh1,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cavebh1,128,64,,,cavebh1,64,64,m6,,cavebh1,128,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,caveceil,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,caveceil,64,64,,,caveceil,32,32,m6,,caveceil,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cavefl1,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cavefl1,128,128,,,cavefl1,64,64,m6,,cavefl1,128,128,m13,,,,,
,,,,cavern1,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cavern1,128,128,,,,,,,,,,,,,,,,,,,cavern1,64,64,m2,,cavern1,128,128,m7,,,,,
,,,,cavern2,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,cavern2,128,64,,,,,,,,,,,,,,,,,,,cavern2,32,32,m2,,cavern2,128,64,m7,,,,,
,,,,,,,,,,,,,,,,,,,,cemcol3,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,cemcol3,64,256,,,cemcol3,128,128,m6,,cemcol3,64,256,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cemcol4,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,cemcol4,64,64,,,cemcol4,32,32,m6,,cemcol4,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cemcol5,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cemcol5,32,128,,,cemcol5,64,64,m6,,cemcol5,32,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,cemcol6,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,cemcol6,32,128,,,cemcol6,64,64,m6,,cemcol6,32,128,m13,,,,,
,,,,cement02,64,64,,,,,,,,,,,,,,,,,,cement02,128,32,,,,,,,,,,,,,,,,,,,,,,,,,,,cement02,64,64,m2,,cement02,128,32,m7,,,,,
,,,,cement03,64,64,,,,,,,,,,,,,,,,,,cement03,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,cement03,64,64,m2,,cement03,128,128,m7,,,,,
,,,,cement05,32,32,,,,,,,,,,,,,,,,,,cement05,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,cement05,32,32,m2,,cement05,64,64,m7,,,,,
cemwall6,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cemwall6,64,64,,,,,,,,,,,,,,cemwall6,64,64,,,cemwall6,32,32,m1,,cemwall6,64,64,"m8,13",,,,,
cemwall9,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cemwall9,128,64,,,cemwall9,64,64,m1,,cemwall9,128,64,m13,,,,,
,,,,,,,,,,,,chem15,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chem15,64,64,,,,,,,chem15,64,64,"m4,12",,,,,,,,,,
,,,,,,,,,,,,chem19,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chem19,64,64,,,,,,,chem19,64,64,"m4,12",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,citybrl,32,32,,,,,,,,,,,,,,citybrl,32,64,,,,,,,,,,,,,,,citybrl,32,32,m6,,citybrl,32,64,m10,,,,,
,,,,,,,,,,,,,,,,,,,,clondest,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,clondest,16,128,,,clondest,64,64,m6,,clondest,16,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clontrbs,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clontrbs,64,64,,,clontrbs,32,32,m6,,clontrbs,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clontree,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,clontree,128,128,,,clontree,64,64,m6,,clontree,128,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clontrnk,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,clontrnk,16,128,,,clontrnk,64,64,m6,,clontrnk,16,128,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr01,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr01,64,64,,,clwatr01,32,32,m6,,clwatr01,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr02,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr02,64,64,,,clwatr02,32,32,m6,,clwatr02,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr03,64,64,,,clwatr03,32,32,m6,,clwatr03,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr04,64,64,,,clwatr04,32,32,m6,,clwatr04,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr05,64,64,,,clwatr05,32,32,m6,,clwatr05,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr06,64,64,,,clwatr06,32,32,m6,,clwatr06,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr07,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr07,64,64,,,clwatr07,32,32,m6,,clwatr07,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr08,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr08,64,64,,,clwatr08,32,32,m6,,clwatr08,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr09,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr09,64,64,,,clwatr09,32,32,m6,,clwatr09,64,64,m13,,,,,
,,,,,,,,,,,,,,,,,,,,clwatr10,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,clwatr10,64,64,,,clwatr10,32,32,m6,,clwatr10,64,64,m13,,,,,
com01,128,32,,com01,128,32,,com01,128,32,,com01,128,32,,com01,128,32,,com01,128,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com01,128,32,"m1,2,3,4,5,6",,,,,,,,,,
com02,32,32,,com02,32,32,,com02,32,32,,com02,32,32,,com02,32,32,,com02,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com02,32,32,"m1,2,3,4,5,6",,,,,,,,,,
com03,32,32,,com03,32,32,,com03,32,32,,com03,32,32,,com03,32,32,,com03,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com03,32,32,"m1,2,3,4,5,6",,,,,,,,,,
com04,32,32,,com04,32,32,,com04,32,32,,com04,32,32,,com04,32,32,,com04,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com04,32,32,"m1,2,3,4,5,6",,,,,,,,,,
com05,32,32,,com05,32,32,,com05,32,32,,com05,32,32,,com05,32,32,,com05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com05,32,32,"m1,2,3,4,5,6",,,,,,,,,,
com06,64,16,,com06,64,16,,com06,64,16,,com06,64,16,,com06,64,16,,com06,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com06,64,16,"m1,2,3,4,5,6",,,,,,,,,,
com07,16,16,,com07,16,16,,com07,16,16,,com07,16,16,,com07,16,16,,com07,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com07,16,16,"m1,2,3,4,5,6",,,,,,,,,,
com08,32,32,,com08,32,32,,com08,32,32,,com08,32,32,,com08,32,32,,com08,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com08,32,32,"m1,2,3,4,5,6",,,,,,,,,,
,,,,comstat16,128,128,,comstat16,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comstat16,128,128,"m2,3",,,,,,,,,,
,,,,comstat20,128,128,,comstat20,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comstat20,128,128,"m2,3",,,,,,,,,,
comstat4,32,32,,comstat4,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comstat4,32,32,"m1,2",,,,,,,,,,
,,,,,,,,cone12,128,128,,,,,,,,,,,,,,,,,,cone12,128,265,,,,,,,,,,,,,,,,,,,,,,,cone12,128,128,"m3,8",,,,,,,,,,
,,,,,,,,cone8,64,64,,,,,,,,,,,,,,,,,,cone8,128,64,,,,,,,,,,,,,,,,,,,,,,,cone8,64,64,"m3,8",,,,,,,,,,
crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,crate01,64,64,,,crate01,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,crate02,64,64,,,crate02,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,crate03,64,64,,,crate03,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,crate04,64,64,,,crate04,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,crate05,64,64,,,crate05,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,crate06,64,64,,,crate06,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,crate07,64,64,,,crate07,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,crate08,64,64,,,crate08,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,crate09,64,64,,,crate09,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,crate10,64,64,,,crate10,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,crate11,64,64,,,crate11,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,crate12,64,64,,,crate12,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,crate13,64,64,,,crate13,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,crate14,64,64,,,crate14,64,64,"m1,2,3,4,5,6,7,8,9,10,11,12,13",,,,,,,,,,
,,,,,,,,craterash,32,32,,,,,,,,,,craterash,32,32,,,,,,craterash,64,64,,,,,,,,,,,,,,,,,,,,,,,craterash,32,32,"m3,6",,craterash,64,64,m8,,,,,
,,,,craterdirt,32,32,,,,,,,,,,,,,,craterdirt,32,32,,craterdirt,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,craterdirt,32,32,"m2,6",,craterdirt,64,64,m7,,,,,
,,,,cratergrass,32,32,,,,,,cratergrass,64,64,,,,,,cratergrass,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cratergrass,32,32,"m2,6",,cratergrass,64,64,m4,,,,,
craterroad,32,32,,craterroad,32,32,,,,,,craterroad,64,64,,,,,,craterroad,32,32,,,,,,,,,,craterroad,64,64,,,,,,,,,,,,,,,,,,,craterroad,32,32,"m1,2,6",,craterroad,64,64,"m4,9",,,,,
cratersand,32,32,,,,,,,,,,,,,,,,,,cratersand,32,32,,,,,,,,,,cratersand,64,64,,,,,,,,,,,,,,cratersand,64,64,,,cratersand,32,32,"m1,6",,cratersand,64,64,"m9,13",,,,,
,,,,,,,,,,,,craterston,64,64,,,,,,craterston,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,craterston,32,32,m6,,craterston,64,64,m4,,,,,
,,,,,,,,,,,,,,,,cratersnow,64,64,,,,,,,,,,,,,,,,,,,,,,cratersnow,64,64,,,,,,,,,,,cratersnow,64,64,"m5,11",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cratrcrd,32,32,,,,,,,,,,,,,,cratrcrd,64,64,,,,,,,,,,,,,,,cratrcrd,32,32,m6,,cratrcrd,64,64,m10,,,,,
,,,,,,,,cratrim1,64,64,,,,,,,,,,,,,,,,,,cratrim1,128,128,,,,,,,,,,,,,,,,,,,,,,,cratrim1,64,64,m3,,cratrim1,128,128,m8,,,,,
,,,,,,,,cratrim2,64,64,,,,,,,,,,,,,,,,,,cratrim2,128,128,,,,,,,,,,,,,,,,,,,,,,,cratrim2,64,64,m3,,cratrim2,128,128,m8,,,,,
,,,,,,,,,,,,,,,,,,,,croad01,128,128,,,,,,,,,,,,,,croad01,256,128,,,,,,,,,,,,,,,croad01,128,128,m6,,croad01,256,128,m10,,,,,
,,,,,,,,,,,,,,,,,,,,croad02,128,128,,,,,,,,,,,,,,croad02,256,256,,,,,,,,,,,,,,,croad02,128,128,m6,,croad02,256,256,m10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,damflow,64,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damflow,64,128,,,,,,,damflow,64,128,"m4,12",,,,,,,,,,
,,,,droad1,64,64,,,,,,,,,,,,,,,,,,droad1,64,128,,,,,,,,,,,,,,,,,,,,,,,,,,,droad1,64,64,m2,,droad1,64,128,m7,,,,,
drone01,16,32,,drone01,16,32,,drone01,16,32,,drone01,16,32,,drone01,16,32,,drone01,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone01,16,32,"m1,2,3,4,5,6",,,,,,,,,,
drone02,16,32,,drone02,16,32,,drone02,16,32,,drone02,16,32,,drone02,16,32,,drone02,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone02,16,32,"m1,2,3,4,5,6",,,,,,,,,,
drone03,8,32,,drone03,8,32,,drone03,8,32,,drone03,8,32,,drone03,8,32,,drone03,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone03,8,32,"m1,2,3,4,5,6",,,,,,,,,,
drone04,16,32,,drone04,16,32,,drone04,16,32,,drone04,16,32,,drone04,16,32,,drone04,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone04,16,32,"m1,2,3,4,5,6",,,,,,,,,,
drone05,32,32,,drone05,32,32,,drone05,32,32,,drone05,32,32,,drone05,32,32,,drone05,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone05,32,32,"m1,2,3,4,5,6",,,,,,,,,,
drone06,32,32,,drone06,32,32,,drone06,32,32,,drone06,32,32,,drone06,32,32,,drone06,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone06,32,32,"m1,2,3,4,5,6",,,,,,,,,,
drone07,32,32,,drone07,32,32,,drone07,32,32,,drone07,32,32,,drone07,32,32,,drone07,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone07,32,32,"m1,2,3,4,5,6",,,,,,,,,,
drone08,64,64,,drone08,64,64,,drone08,64,64,,drone08,64,64,,drone08,64,64,,drone08,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone08,64,64,"m1,2,3,4,5,6",,,,,,,,,,
drone09,16,16,,drone09,16,16,,drone09,16,16,,drone09,16,16,,drone09,16,16,,drone09,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone09,16,16,"m1,2,3,4,5,6",,,,,,,,,,
drone10,8,32,,drone10,8,32,,drone10,8,32,,drone10,8,32,,drone10,8,32,,drone10,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drone10,8,32,"m1,2,3,4,5,6",,,,,,,,,,
